bus_line,time_slot,age_group,total_revenue,total_yield,total_trips,avg_yield_per_trip
1,07:00-10:00,0-18 vjeç,16640,13312.0,26,1664.0
1,07:00-10:00,19-60 vjeç,57280,45824.0,69,1992.3478260869565
1,07:00-10:00,60+ vjeç,320,256.0,14,36.57142857142857
1,10:00-16:00,0-18 vjeç,480,384.0,12,64.0
1,10:00-16:00,19-60 vjeç,37720,30176.0,48,2011.7333333333331
1,10:00-16:00,60+ vjeç,10360,8288.0,34,690.6666666666666
1,16:00-19:00,0-18 vjeç,6840,5472.0,15,781.7142857142857
1,16:00-19:00,19-60 vjeç,69560,55648.0,81,2061.037037037037
1,16:00-19:00,60+ vjeç,240,192.0,16,24.0
2,10:00-16:00,0-18 vjeç,160,128.0,4,64.0
2,10:00-16:00,19-60 vjeç,26800,21440.0,18,3573.333333333333
2,10:00-16:00,60+ vjeç,80,64.0,2,64.0
2,16:00-19:00,0-18 vjeç,17040,13632.0,36,852.0
2,16:00-19:00,19-60 vjeç,95360,76288.0,109,1907.2
2,16:00-19:00,60+ vjeç,560,448.0,22,40.72727272727273
3,07:00-10:00,0-18 vjeç,520,416.0,13,59.42857142857143
3,07:00-10:00,19-60 vjeç,45640,36512.0,47,2434.133333333333
3,07:00-10:00,60+ vjeç,480,384.0,20,54.85714285714285
3,10:00-16:00,0-18 vjeç,3680,2944.0,14,588.8
3,10:00-16:00,19-60 vjeç,71600,57280.0,66,2603.6363636363635
3,10:00-16:00,60+ vjeç,2560,2048.0,12,409.6
3,16:00-19:00,0-18 vjeç,16400,13120.0,31,1093.3333333333333
3,16:00-19:00,19-60 vjeç,87440,69952.0,90,2256.516129032258
3,16:00-19:00,60+ vjeç,560,448.0,40,32.0
4,07:00-10:00,0-18 vjeç,360,288.0,9,96.0
4,07:00-10:00,19-60 vjeç,57480,45984.0,50,2874.0
4,07:00-10:00,60+ vjeç,3280,2624.0,6,874.6666666666666
4,10:00-16:00,0-18 vjeç,8960,7168.0,10,1792.0
4,10:00-16:00,19-60 vjeç,41720,33376.0,49,2225.0666666666666
4,10:00-16:00,60+ vjeç,2720,2176.0,18,310.85714285714283
4,16:00-19:00,0-18 vjeç,3560,2848.0,31,219.07692307692307
4,16:00-19:00,19-60 vjeç,53120,42496.0,65,1931.636363636364
4,16:00-19:00,60+ vjeç,2480,1984.0,12,496.0
5,07:00-10:00,0-18 vjeç,13680,10944.0,30,994.9090909090908
5,07:00-10:00,19-60 vjeç,296640,237312.0,318,2349.6237623762377
5,07:00-10:00,60+ vjeç,8120,6496.0,94,196.84848484848484
5,10:00-16:00,0-18 vjeç,83000,66400.0,125,1443.4782608695652
5,10:00-16:00,19-60 vjeç,361240,288992.0,386,2512.973913043478
5,10:00-16:00,60+ vjeç,8600,6880.0,139,140.40816326530611
5,16:00-19:00,0-18 vjeç,72560,58048.0,135,1261.9130434782608
5,16:00-19:00,19-60 vjeç,317560,254048.0,384,2171.3504273504277
5,16:00-19:00,60+ vjeç,13920,11136.0,96,309.3333333333333
6,07:00-10:00,0-18 vjeç,5520,4416.0,13,630.8571428571429
6,07:00-10:00,19-60 vjeç,393880,315104.0,468,1945.0864197530864
6,07:00-10:00,60+ vjeç,6000,4800.0,82,150.0
6,10:00-16:00,0-18 vjeç,14440,11552.0,35,888.6153846153846
6,10:00-16:00,19-60 vjeç,159840,127872.0,238,1346.0210526315789
6,10:00-16:00,60+ vjeç,5920,4736.0,30,364.3076923076923
6,16:00-19:00,0-18 vjeç,8240,6592.0,50,313.9047619047619
6,16:00-19:00,19-60 vjeç,202720,162176.0,241,2133.894736842105
6,16:00-19:00,60+ vjeç,1400,1120.0,63,48.69565217391305
7,07:00-10:00,0-18 vjeç,6400,5120.0,4,5120.0
7,07:00-10:00,19-60 vjeç,208840,167072.0,313,1415.864406779661
7,07:00-10:00,60+ vjeç,480,384.0,12,64.0
7,10:00-16:00,0-18 vjeç,6800,5440.0,14,1088.0
7,10:00-16:00,19-60 vjeç,156280,125024.0,296,1024.7868852459017
7,10:00-16:00,60+ vjeç,13200,10560.0,20,1320.0
7,16:00-19:00,0-18 vjeç,160,128.0,4,128.0
7,16:00-19:00,19-60 vjeç,131960,105568.0,239,1319.6
7,16:00-19:00,60+ vjeç,160,128.0,4,128.0
8,07:00-10:00,19-60 vjeç,37320,29856.0,51,1756.235294117647
8,10:00-16:00,19-60 vjeç,76760,61408.0,90,1860.8484848484848
8,16:00-19:00,19-60 vjeç,89760,71808.0,149,1408.0
10,07:00-10:00,0-18 vjeç,5280,4224.0,20,603.4285714285714
10,07:00-10:00,19-60 vjeç,262360,209888.0,485,1279.8048780487804
10,07:00-10:00,60+ vjeç,6800,5440.0,18,680.0
10,10:00-16:00,0-18 vjeç,160,128.0,4,64.0
10,10:00-16:00,19-60 vjeç,219440,175552.0,422,1097.2
10,10:00-16:00,60+ vjeç,3200,2560.0,2,2560.0
10,16:00-19:00,0-18 vjeç,80,64.0,2,64.0
10,16:00-19:00,19-60 vjeç,113120,90496.0,254,822.6909090909091
10,16:00-19:00,60+ vjeç,40,32.0,1,32.0
11,07:00-10:00,0-18 vjeç,80,64.0,2,64.0
11,07:00-10:00,19-60 vjeç,24280,19424.0,41,1387.428571428571
11,10:00-16:00,19-60 vjeç,57360,45888.0,100,1240.2162162162165
11,16:00-19:00,19-60 vjeç,26440,21152.0,43,1113.2631578947369
12,07:00-10:00,19-60 vjeç,4200,3360.0,7,1680.0
12,10:00-16:00,19-60 vjeç,25520,20416.0,34,1361.0666666666666
12,16:00-19:00,19-60 vjeç,30680,24544.0,47,1291.7894736842106
13,07:00-10:00,0-18 vjeç,80,64.0,2,64.0
13,07:00-10:00,19-60 vjeç,80600,64480.0,133,1289.6
13,07:00-10:00,60+ vjeç,6400,5120.0,4,5120.0
13,10:00-16:00,19-60 vjeç,76520,61216.0,94,1530.4
13,16:00-19:00,19-60 vjeç,37920,30336.0,92,1046.0689655172414
13,16:00-19:00,60+ vjeç,2400,1920.0,2,1920.0
14,07:00-10:00,19-60 vjeç,17120,13696.0,34,760.8888888888889
14,07:00-10:00,60+ vjeç,0,0.0,3,0.0
14,10:00-16:00,19-60 vjeç,15240,12192.0,25,1016.0
14,10:00-16:00,60+ vjeç,0,0.0,2,0.0
14,16:00-19:00,19-60 vjeç,5160,4128.0,15,688.0
18,07:00-10:00,19-60 vjeç,118720,94976.0,272,693.2554744525547
18,07:00-10:00,60+ vjeç,3360,2688.0,7,672.0
18,10:00-16:00,0-18 vjeç,49680,39744.0,85,828.0
18,10:00-16:00,19-60 vjeç,329360,263488.0,492,1160.740088105727
18,10:00-16:00,60+ vjeç,5760,4608.0,38,271.05882352941177
18,16:00-19:00,0-18 vjeç,6680,5344.0,11,1068.8
18,16:00-19:00,19-60 vjeç,149920,119936.0,231,1090.3272727272729
18,16:00-19:00,60+ vjeç,2640,2112.0,8,528.0
19,07:00-10:00,19-60 vjeç,62920,50336.0,69,2396.9523809523807
19,07:00-10:00,60+ vjeç,320,256.0,20,28.444444444444443
19,10:00-16:00,0-18 vjeç,14480,11584.0,14,1654.857142857143
19,10:00-16:00,19-60 vjeç,38760,31008.0,57,1292.0
19,10:00-16:00,60+ vjeç,0,0.0,5,0.0
19,16:00-19:00,0-18 vjeç,12160,9728.0,54,422.9565217391304
19,16:00-19:00,19-60 vjeç,171120,136896.0,184,2043.2238805970148
19,16:00-19:00,60+ vjeç,7200,5760.0,55,250.43478260869568
22,07:00-10:00,0-18 vjeç,46360,37088.0,70,1278.896551724138
22,07:00-10:00,19-60 vjeç,576920,461536.0,765,1678.3127272727272
22,07:00-10:00,60+ vjeç,17400,13920.0,102,296.17021276595744
22,10:00-16:00,0-18 vjeç,31920,25536.0,45,1596.0
22,10:00-16:00,19-60 vjeç,514160,411328.0,686,1619.4015748031495
22,10:00-16:00,60+ vjeç,7320,5856.0,39,344.47058823529414
22,16:00-19:00,0-18 vjeç,49240,39392.0,85,1010.051282051282
22,16:00-19:00,19-60 vjeç,1067400,853920.0,1327,1651.6827852998065
22,16:00-19:00,60+ vjeç,9640,7712.0,74,208.4324324324324
23,07:00-10:00,0-18 vjeç,6640,5312.0,10,1328.0
23,07:00-10:00,19-60 vjeç,236680,189344.0,301,1786.2641509433963
